instrument_id,trading_day,open,high,low,close,volume,turnover,open_interest
T2409,20240612,104.76999664310000000,104.76999664310000000,104.68000030520000000,104.69499969480000000,49436.000000,51767514100.000000,179613.000000
T2409,20240613,104.73500061040000000,104.79000091550000000,104.69999694820000000,104.72000122070000000,44732.000000,46854079900.000000,181323.000000
T2409,20240614,104.76000213620000000,104.79499816890000000,104.70500183110000000,104.75499725340000000,49370.000000,51711199650.000000,179772.000000
T2409,20240617,104.70999908450000000,104.79499816890000000,104.66500091550000000,104.76499938960000000,53171.000000,55692698800.000000,183352.000000
T2409,20240618,104.80000305180000000,104.90000152590000000,104.76999664310000000,104.85500335690000000,52143.000000,54669405100.000000,189998.000000
T2409,20240619,104.87000274660000000,104.97499847410000000,104.80000305180000000,104.97499847410000000,52768.000000,55345760650.000000,192612.000000
T2409,20240620,105.02500152590000000,105.04000091550000000,104.93000030520000000,105.01499938960000000,42231.000000,44340283300.000000,192052.000000
T2409,20240624,104.90000152590000000,105.08000183110000000,104.87500000000000000,105.05500030520000000,41498.000000,43560809000.000000,190416.000000
T2409,20240625,105.12000274660000000,105.19000244140000000,105.09999847410000000,105.15000152590000000,41426.000000,43552458900.000000,191408.000000
T2409,20240627,105.11499786380000000,105.34500122070000000,105.11499786380000000,105.30500030520000000,46373.000000,48819392350.000000,197135.000000
T2409,20240702,105.00000000000000000,105.26000213620000000,104.97499847410000000,105.23999786380000000,64121.000000,67410542700.000000,187332.000000
T2409,20240703,105.22000122070000000,105.39499664310000000,105.16999816890000000,105.37000274660000000,46130.000000,48563441600.000000,187898.000000
T2409,20240704,105.33999633790000000,105.37999725340000000,105.25000000000000000,105.26999664310000000,43458.000000,45765386500.000000,187515.000000
T2409,20240705,105.23500061040000000,105.27500152590000000,105.09500122070000000,105.13500213620000000,59477.000000,62552811350.000000,187212.000000
T2409,20240708,105.00000000000000000,105.00000000000000000,104.75000000000000000,104.87500000000000000,71055.000000,74500818650.000000,183033.000000
T2409,20240709,105.01000213620000000,105.09500122070000000,105.00000000000000000,105.08499908450000000,45269.000000,47554443150.000000,186733.000000
T2409,20240710,105.08499908450000000,105.14499664310000000,105.03500366210000000,105.11000061040000000,29670.000000,31178161850.000000,188590.000000
T2409,20240711,105.12000274660000000,105.16000366210000000,105.08499908450000000,105.12999725340000000,20413.000000,21459406250.000000,187646.000000
T2409,20240712,105.19499969480000000,105.30000305180000000,105.18499755860000000,105.24500274660000000,27194.000000,28622491400.000000,188079.000000
T2409,20240717,105.43499755860000000,105.45500183110000000,105.33499908450000000,105.43499755860000000,34012.000000,35851727900.000000,191962.000000
T2409,20240718,105.40000152590000000,105.41000366210000000,105.27999877930000000,105.30000305180000000,37029.000000,39009586200.000000,194418.000000
T2409,20240719,105.31999969480000000,105.46499633790000000,105.31999969480000000,105.45999908450000000,29575.000000,31169440100.000000,197044.000000
T2409,20240722,105.59999847410000000,105.77500152590000000,105.52500152590000000,105.71499633790000000,44822.000000,47355468800.000000,197400.000000
T2409,20240724,105.85500335690000000,105.91999816890000000,105.80500030520000000,105.86000061040000000,34430.000000,36448036850.000000,197309.000000
T2409,20240725,105.97000122070000000,105.99500274660000000,105.79499816890000000,105.83499908450000000,55102.000000,58354543200.000000,196211.000000
T2409,20240729,105.95999908450000000,105.97499847410000000,105.85500335690000000,105.94999694820000000,37773.000000,40009289750.000000,194315.000000
T2409,20240730,106.02999877930000000,106.05000305180000000,105.86499786380000000,105.95999908450000000,53114.000000,56280629600.000000,195694.000000
T2409,20240731,106.12000274660000000,106.23999786380000000,106.05999755860000000,106.11499786380000000,60181.000000,63886722250.000000,195568.000000
T2409,20240801,106.12500000000000000,106.36000061040000000,106.09500122070000000,106.26499938960000000,55843.000000,59331053950.000000,197027.000000
T2409,20240805,106.39499664310000000,106.55000305180000000,106.30000305180000000,106.55000305180000000,53595.000000,57022095050.000000,189298.000000
T2409,20240806,106.19000244140000000,106.31500244140000000,106.00000000000000000,106.30999755860000000,65938.000000,70042922900.000000,179302.000000
T2409,20240809,105.90000152590000000,105.96499633790000000,105.80500030520000000,105.94499969480000000,60351.000000,63908314600.000000,162691.000000
T2409,20240814,105.74500274660000000,105.93499755860000000,105.65499877930000000,105.69000244140000000,76165.000000,80592098700.000000,124047.000000
T2409,20240815,105.78500366210000000,105.78500366210000000,105.50000000000000000,105.54499816890000000,69629.000000,73568558300.000000,112556.000000
T2409,20240816,105.58499908450000000,105.74500274660000000,105.58499908450000000,105.69499969480000000,57416.000000,60672825250.000000,99951.000000
T2409,20240819,105.68000030520000000,105.84999847410000000,105.61000061040000000,105.80000305180000000,48724.000000,51510890250.000000,87078.000000
T2409,20240821,105.78500366210000000,105.78500366210000000,105.58000183110000000,105.58999633790000000,23472.000000,24803838350.000000,60573.000000
T2409,20240826,105.86000061040000000,106.01999664310000000,105.86000061040000000,105.93000030520000000,12399.000000,13135614350.000000,45663.000000
T2409,20240827,105.80500030520000000,105.88500213620000000,105.62500000000000000,105.70999908450000000,10589.000000,11197618950.000000,41277.000000
T2409,20240829,105.83999633790000000,105.87500000000000000,105.68499755860000000,105.74500274660000000,35128.000000,37177087700.000000,6063.000000
T2409,20240902,105.95500183110000000,105.95500183110000000,105.94999694820000000,105.95500183110000000,17.000000,18011900.000000,5994.000000
T2409,20240905,106.18499755860000000,106.18499755860000000,106.18499755860000000,106.18499755860000000,12.000000,12734700.000000,5143.000000
T2409,20240906,106.16999816890000000,106.23999786380000000,106.12000274660000000,106.23999786380000000,148.000000,157172750.000000,5138.000000
T2409,20240910,106.41500091550000000,106.56500244140000000,106.41500091550000000,106.48500061040000000,54.000000,57478950.000000,4922.000000
T2409,20240911,106.55000305180000000,106.80999755860000000,106.55000305180000000,106.65000152590000000,231.000000,246398050.000000,1760.000000
T2409,20240912,106.52999877930000000,106.52999877930000000,106.51499938960000000,106.52999877930000000,17.000000,18115800.000000,1760.000000
T2409,20240913,106.00499725340000000,107.50000000000000000,106.00499725340000000,107.00000000000000000,21.000000,22370750.000000,0.000000
T2412,20240311,104.06999969480000000,104.11499786380000000,103.91500091550000000,103.94000244140000000,308.000000,320472550.000000,103.000000
T2412,20240312,103.77999877930000000,103.87500000000000000,103.72499847410000000,103.73999786380000000,246.000000,255374900.000000,163.000000
T2412,20240313,103.71499633790000000,103.80000305180000000,103.50000000000000000,103.79000091550000000,271.000000,280892300.000000,252.000000
